event_services_name,event_services_id
Venue Booking,0
Catering Services,1
DJ & Music Services,2
Photography & Videography,3
Event Planning & Coordination,4
Decor & Stage Setup,5
Lighting & Sound Equipment,6
Invitation Design & Printing,7
Makeup & Hair Styling,8
Costume & Attire Rentals,9
Floral Arrangements,10
Transportation & Valet Services,11
Security & Crowd Management,12
"Live Performances (bands, dancers, magicians)",13
Emcee & Hosting,14
Cake & Dessert Tables,15
Bar & Beverage Services,16
Interactive Booths & Stalls,17
Ticketing & Registration,18
Audio-Visual Equipment Rental,19
Gift & Favor Coordination,20
Accommodation Arrangements,21
Guided Tours & Activities,22
Workshop & Training Sessions,23
Product Display & Demonstration,24
Branding & Promotional Material,25
Social Media & Digital Marketing,26
Traditional Rituals & Ceremonies,27
Fun & Games Coordination,28
Celebrity & Guest Appearances,29
Auction & Fundraising Services,30
Networking & Business Matchmaking,31
Virtual Event Platforms,32
"Interactive Session Tools (Q&A, Polls)",33
Merchandise Production & Sales,34
"Health & Safety Measures (e.g., sanitization stations)",35
Environmental & Sustainability Services,36
Translation & Interpretation Services,37
Art Installations & Exhibitions,38
Adventure & Recreational Activities,39
Wellness & Spa Services,40
Fireworks & Special Effects,41
Themed Decor & Props,42
Customized Event Apps & Technology,43
Feedback & Survey Collection,44
Post-Event Cleanup & Waste Management,45
Media & Press Coordination,46
Licensing & Permissions,47
Insurance & Risk Management,48
Budgeting & Financial Services,49
Virtual Event Platforms,50
"Interactive Session Tools (Q&A, Polls)",51
Merchandise Production & Sales,52
"Health & Safety Measures (e.g., sanitization stations)",53
Environmental & Sustainability Services,54
Translation & Interpretation Services,55
Art Installations & Exhibitions,56
Adventure & Recreational Activities,57
Virtual Event Platforms,58
"Interactive Session Tools (Q&A, Polls)",59
Merchandise Production & Sales,60
"Health & Safety Measures (e.g., sanitization stations)",61
Environmental & Sustainability Services,62
Translation & Interpretation Services,63
Art Installations & Exhibitions,64
Adventure & Recreational Activities,65
Wellness & Spa Services,66
Fireworks & Special Effects,67
Virtual Event Platforms,68
"Interactive Session Tools (Q&A, Polls)",69
Merchandise Production & Sales,70
"Health & Safety Measures (e.g., sanitization stations)",71
Environmental & Sustainability Services,72
Translation & Interpretation Services,73
Art Installations & Exhibitions,74
Adventure & Recreational Activities,75
Wellness & Spa Services,76
Fireworks & Special Effects,77
Themed Decor & Props,78
Virtual Event Platforms,79
"Interactive Session Tools (Q&A, Polls)",80
Merchandise Production & Sales,81
"Health & Safety Measures (e.g., sanitization stations)",82
Environmental & Sustainability Services,83
