event_name,event_id,event_service_id
Wedding Reception,0,40
Birthday Bash,1,76
Silver Anniversary Celebration,2,40
Corporate Annual Meet,3,40
Baby's First Birthday,4,40
Engagement Soiree,5,40
Farewell Get-together,6,40
Graduation Gala,7,40
Housewarming Feast,8,40
Retirement Luncheon,9,40
Product Launch Showcase,10,40
Award Night,11,40
Charity Ball,12,55
Workshop Symposium,13,40
International Conference,14,40
Music Festival,15,40
Art and Craft Fair,16,40
Cultural Fest,17,40
Sports Championship,18,40
Fundraising Dinner,19,40
Book Launch,20,40
Fashion Show,21,40
Film Premiere,22,40
Comedy Night,23,40
Magic Show,24,40
Wine Tasting Event,25,40
Food and Culinary Fest,26,40
Dance Recital,27,19
Theater Play,28,30
Photography Exhibition,29,23
Poetry Slam,30,40
Tech Expo,31,37
Yoga Retreat,32,40
Culinary Workshop,33,37
Beach Party,34,40
Masquerade Ball,35,40
Historical Reenactment,36,37
Science Fair,37,40
Tattoo Convention,38,41
Marathon,39,41
Adventure Sports Day,40,57
Choir Performance,41,57
Jazz Night,42,57
Singles Mixer,43,40
Alumni Reunion,44,57
Carnival,45,57
Christmas Market,46,57
New Year's Eve Countdown,47,57
Lantern Festival,48,57
Ice Sculpture Exhibition,49,57
Kite Flying Day,50,57
Cosplay Convention,51,57
Gaming Tournament,52,57
Networking Mixer,53,57
Antique Fair,54,57
Chocolate Festival,55,43
Vintage Car Rally,56,57
Hot Air Balloon Festival,57,57
Wildlife Safari Tour,58,78
Astronomy Night,59,57
Wedding Reception,60,43
Birthday Bash,61,43
Silver Anniversary Celebration,62,37
Corporate Annual Meet,63,40
Baby's First Birthday,64,40
Engagement Soiree,65,37
Farewell Get-together,66,37
Graduation Gala,67,40
Housewarming Feast,68,30
Retirement Luncheon,69,54
Product Launch Showcase,70,49
Award Night,71,37
Charity Ball,72,40
Workshop Symposium,73,40
International Conference,74,37
Music Festival,75,40
Art and Craft Fair,76,37
Cultural Fest,77,40
Sports Championship,78,40
Wedding Reception,79,40
Birthday Bash,80,37
Silver Anniversary Celebration,81,40
Corporate Annual Meet,82,37
Baby's First Birthday,83,40
Engagement Soiree,84,40
Farewell Get-together,85,37
Graduation Gala,86,40
Housewarming Feast,87,37
Retirement Luncheon,88,40
Product Launch Showcase,89,40
Award Night,90,40
Charity Ball,91,37
Workshop Symposium,92,37
International Conference,93,43
Music Festival,94,40
Art and Craft Fair,95,40
Cultural Fest,96,40
Sports Championship,97,40
Fundraising Dinner,98,40
Book Launch,99,37
Fashion Show,100,40
Film Premiere,101,78
Comedy Night,102,76
Magic Show,103,76
Wine Tasting Event,104,76
Food and Culinary Fest,105,30
Dance Recital,106,30
Theater Play,107,44
Photography Exhibition,108,44
Poetry Slam,109,57
Tech Expo,110,44
Yoga Retreat,111,57
Culinary Workshop,112,44
Beach Party,113,57
Masquerade Ball,114,44
Historical Reenactment,115,57
Science Fair,116,57
Tattoo Convention,117,44
Marathon,118,44
Adventure Sports Day,119,44
Choir Performance,120,44
Jazz Night,121,44
Singles Mixer,122,44
Alumni Reunion,123,44
Carnival,124,44
Christmas Market,125,44
New Year's Eve Countdown,126,44
Lantern Festival,127,44
Ice Sculpture Exhibition,128,44
Kite Flying Day,129,44
Cosplay Convention,130,44
Gaming Tournament,131,44
Networking Mixer,132,44
Antique Fair,133,45
Chocolate Festival,134,45
Vintage Car Rally,135,45
Hot Air Balloon Festival,136,45
Wildlife Safari Tour,137,44
Astronomy Night,138,45
Wedding Reception,139,45
Birthday Bash,140,45
Silver Anniversary Celebration,141,44
Corporate Annual Meet,142,45
Baby's First Birthday,143,45
Engagement Soiree,144,44
Farewell Get-together,145,44
Graduation Gala,146,44
Housewarming Feast,147,44
Retirement Luncheon,148,44
Product Launch Showcase,149,45
Award Night,150,44
Charity Ball,151,45
Workshop Symposium,152,45
International Conference,153,45
Music Festival,154,45
Art and Craft Fair,155,45
Cultural Fest,156,45
Sports Championship,157,44
Wedding Reception,158,44
Birthday Bash,159,44
Silver Anniversary Celebration,160,44
Corporate Annual Meet,161,44
Baby's First Birthday,162,45
Engagement Soiree,163,44
Farewell Get-together,164,44
Graduation Gala,165,45
Housewarming Feast,166,45
Retirement Luncheon,167,44
Product Launch Showcase,168,44
Award Night,169,44
Charity Ball,170,45
Workshop Symposium,171,45
International Conference,172,45
Music Festival,173,45
Art and Craft Fair,174,44
Cultural Fest,175,45
Sports Championship,176,45
